category,Company Name,Address,ZIP,City,Region,Country,Phone,Fax,E-mail,www,Services,Certification,Company certificate,Registration No.,Link to the certificate,Label,Surface,Founded,Contact person,Products to sell,Products to buy,Service provider for products,Company profile,
BABY FOOD,BIA - BIOALIMENTACION INFANTIL DE ANDALUCIA SD.,"C/ de la Idea, 1",11591,JEREZ DE LA FRONTERA,ANDALUCIA - Cádiz,SPAIN,+34  956 031019,+34  956 031020,info@bialimentacion.com,www.bialimentacion.com,PRODUCTION,EG-OEKO-VERORDNUNG 834/2007 - Companies certified by EG-OEKO-VERORDNUNG 834/2007 (143),,,,,,,,BABY FOOD,,,,
BABY FOOD,BIO - DUENE,Inselstr. 24,25946,WITTDUEN / AMRUM,Schleswig-Holstein - Nordfriesland,GERMANY,+490  468 21828,+490  468 21829,info@bio-duene.de,www.bio-duene.de,RETAILER,,,,,,,,Mr. Christoph Mossmann,BABY FOODFULL ASSORTMENT,BABY FOODFULL ASSORTMENT,,,
BABY FOOD,BIOBIM - JOANNUSMOLEN B.V.,Hulsbos 3,5431 NZ,CUIJK,Noord-Brabant,NETHERLANDS,+31  48 5330600,+31  48 5330609,info@joannusmolen.nl,www.joannusmolen.nl,EXPORTFAIRTRADEIMPORTONLINESHOPPRODUCTION,SKAL - Companies certified by SKAL (245),,,,,,,,BABY FOODCEREAL PRODUCTSCEREALSCOCOA & ITS PREPARATIONSGLUTEN FREE PRODUCTSVEGETARIAN PRODUCTS,BABY FOODCEREALSGLUTEN FREE PRODUCTSVEGETARIAN PRODUCTS,,,
BABY FOOD,BIOVYANA GMBH,Neefestrasse 76,09119,CHEMNITZ,Sachsen - Chemnitz,GERMANY,+49 371 35595858,+49  371 35595859,info@biovyana.com,www.biovyana.com,MAIL ORDER TO GENERAL PUBLICONLINESHOPRETAILERTRADE,BCS OEKO-GARANTIE GMBH - Companies certified by BCS OEKO-GARANTIE GMBH (167),,,,BIO-SIEGEL,,2010,Mr. Christian Adler,CEREALSCEREAL PRODUCTSGLUTEN FREE PRODUCTSOILS AND FATS > VEGETABLESEEDSBABY FOODTEA,CEREALSCEREAL PRODUCTSGLUTEN FREE PRODUCTS,,,
BABY FOOD,BRAND AND VISION GMBH / SESAMSTRASSE,Burchardstrasse 21,20095,HAMBURG,Hamburg,GERMANY,+49 40 357 089 32,+49 40 357 089 42,info@brandandvision.com,www.brandandvision.com,DISTRIBUTIONEXPORTTRADEWHOLESALER,,,,,EU ORGANIC BIO LOGO,,2006,Mr. Behnam Khatami,"BABY FOODBAKERY PRODUCTS, ADDITIVES > BISCUITS > CEREALS BISCUITSFRUIT PRODUCTS > PUREEFULL ASSORTMENTGLUTEN FREE PRODUCTSPASTA > DURUM WHEAT PASTATEA > FRUIT TEA",BABY FOOD,,,
BABY FOOD,CORN VALLEY SRL / LA SANFERMESE SPA,Strada Tadesa 1,46040,SAN FERMO DI PIUBEGA,LOMBARDIA - Mantova,ITALY,+39  0376 655179,+39  0376 655177,info@pec.lasanfermese.it,www.lasanfermese.com,EXPORTPRODUCTION,,,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVES > SNACKCEREAL PRODUCTS > FLOURCEREALSGLUTEN FREE PRODUCTS",,,,
BABY FOOD,COVELT,Korendijk 13,5704 RD,HELMOND,Noord-Brabant,NETHERLANDS,+31  492 533853,+31  492 532684,info@covelt.nl,www.covelt.nl,EXPORTPRODUCTION,,,,,,,,,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESFROZEN PRODUCTS > FRUIT,,,,
BABY FOOD,DE BARDO LES PRODUITS,22 rue du Buisson aux Fraises,91300,MASSY,ILE-DE-FRANCE - Essonne,FRANCE,+33  1 64537272,+33  1 64537275,contact@debardo.fr,www.debardo.fr,DISTRIBUTIONEXPORTPRODUCTIONTRADE,ECOCERT SA FRANCE - Companies certified by ECOCERT SA FRANCE (798),,,,,,,,BABY FOODBEVERAGES - NON ALCOHOLICCEREAL PRODUCTSDRIED FRUITEDIBLE PREPARATIONS & SPICES > SALTMEDICAL & AROMATIC PLANTS > NUTRITIONAL SUPPLEMENTNUT PRODUCTS,BABY FOODBEVERAGES - NON ALCOHOLICCEREAL PRODUCTS,,,
BABY FOOD,DOMI-BIO,5 rue Verte,27350,LE LANDIN,HAUTE-NORMANDIE - Eure,FRANCE,+33  023 2424233,,contact@domi-bio.fr,www.domi-bio.fr,DISTRIBUTIONMAIL ORDER TO GENERAL PUBLICONLINESHOPRETAILERTRADEWHOLESALER,QUALITE FRANCE - BUREAU VERITAS CERTIFICATION - Companies certified by QUALITE FRANCE - BUREAU VERITAS CERTIFICATION (913),,,,,,2008,Ms. Peggy MARGUERITTE,"BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESCEREALS > QUINOAOILS AND FATSHONEY & HONEY PRODUCTSBAKERY PRODUCTS, ADDITIVESPASTA",BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESCEREALS > QUINOA,,,
BABY FOOD,"EARTH'S BEST / THE HAIN CELESTIAL GROUP, INC.",4600 Sleepytime Dr.,80301,BOULDER,Colorado,USA,+1  800 4344246,,,www.earthsbest.com,ONLINESHOPPRODUCTIONWHOLESALER,"USDA,  U.S. DEPARTMENT OF AGRICULTURE  - Companies certified by USDA,  U.S. DEPARTMENT OF AGRICULTURE  (585)",,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVES > SNACKBEVERAGES - NON ALCOHOLIC > FRUIT JUICESFROZEN PRODUCTS > READY MADE MEALS","BABY FOODBAKERY PRODUCTS, ADDITIVES > SNACKBEVERAGES - NON ALCOHOLIC > FRUIT JUICESFROZEN PRODUCTS > READY MADE MEALS",,,
BABY FOOD,EQUATEUR FRUITS,88 Rue Perrin Solliers,13006,MARSEILLE,PROVENCE-ALPES-COTE D'AZUR - Bouches-du-Rhône,FRANCE,+33  49 1421841,+33  95 6115310,equateurfruits.contact@gmail.com,,BROKER TO WHOLESALERSBUYERDISTRIBUTIONEXPORTFAIRTRADEIMPORTORGANIC CERTIFICATION,ECOCERT SA FRANCE - Companies certified by ECOCERT SA FRANCE (798),,,,ECOCERT,,2004,Ms. Farida Benraba,BABY FOODBEVERAGES - NON ALCOHOLIC > CONCENTRATEBEVERAGES - NON ALCOHOLIC > CONCENTRATE > APPLESBEVERAGES - NON ALCOHOLIC > CONCENTRATE > MANGOESBEVERAGES - NON ALCOHOLIC > FRUIT JUICES > BANANASBEVERAGES - NON ALCOHOLIC > FRUIT JUICES > MANGOESBEVERAGES - NON ALCOHOLIC > SEA BUCKTHORN JUICEFROZEN PRODUCTS > CONCENTRATES > ORANGE,,,,
BABY FOOD,ERDBäR GMBH,Schoenhauser Allee 148,10435,BERLIN,Berlin - Kreisfreie Stadt,GERMANY,030 58 58 27 80,,info@erdbaer.de,www.frechefreunde.de,DISTRIBUTIONEXPORTTRADE,OEKOP - Companies certified by OEKOP (13),,,,BIO-SIEGEL,,2010,Sirs Natacha & Alexander Neumann,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESDRIED FRUITVEGETARIAN PRODUCTS,,,,
BABY FOOD,ERDMANNHAUSER GRAIN PRODUCTS GMBH,Robert-Bosch-Str. 17,71729,ERDMANNHAUSEN,Baden-Württemberg - Stuttgart,GERMANY,+49  7144 89640,+49  7144 896428,info@erdmannhauser.de,www.erdmannhauser.de,EXPORTPRODUCTIONTRADE,,,,,,,,Mr. Karl Huober,"BABY FOODBAKERY PRODUCTS, ADDITIVESCEREAL PRODUCTS","BABY FOODBAKERY PRODUCTS, ADDITIVESCEREAL PRODUCTS",,,
BABY FOOD,FROHKOST GMBH,Konkordiastrasse 81,40219,DUESSELDORF,Nordrhein-Westfalen - Düsseldorf,GERMANY,+49  0211 93597221,,hallo@froh-kost.de,www.froh-kost.de,EXPORTONLINESHOPPRODUCTIONTRADE,,,,,,,,Mr. Oliver Schoofs,BABY FOOD,FRUITMEATVEGETABLES,,,
BABY FOOD,GITTIS NATURPRODUKTE,Halleiner Landesstrasse 3,5412,PUCH,Salzburg,AUSTRIA,+43  6245 904000,+43  6245 90400969,office@gittis.at,www.gittis.at,EXPORTPRODUCTION,,,,,,,,,BABY FOODCEREAL PRODUCTS > MUESLI,,,,
BABY FOOD,GOLDIM S.R.O.,Rasinova 422/II,392 01,SOBESLAV,Jihoceský kraj - Tábor,CZECH REPUBLIC,+420  381 521281,+420  381 504276,goldim@goldim.cz,www.goldim.cz,EXPORTONLINESHOPPRIVATE LABELPRODUCTION,,,,,,,,,BABY FOODMEDICAL & AROMATIC PLANTS > NUTRITIONAL SUPPLEMENTTEA > HERBALTEA > MEDICINAL,,,,
BABY FOOD,GRAIG FARM ORGANICS,"Tyn Y Fron, Mochdre",LD1 5TL,NEWTOWN,WALES - Powys,UNITED KINGDOM,+44  1686 627979,,sales@graigfarm.co.uk,www.graigfarm.co.uk,IMPORTONLINESHOPTRADE,,,,,,,,,BABY FOODBEVERAGES - ALCOHOLICCEREAL PRODUCTS > FLOUREDIBLE PREPARATIONS & SPICES > MIXTURESFISHMEAT > BEEFMEAT > LAMB,BABY FOODBEVERAGES - ALCOHOLICCEREAL PRODUCTS > FLOUR,,,
BABY FOOD,H&S TEE-GESELLSCHAFT MBH & CO. KG,Im Ebsmoor 15-17,29614,SOLTAU,Niedersachsen - Lüneburg,GERMANY,+49  7543 6030,+49  7543 603100,info@hstee.de,www.hstee.de,EXPORTPACKAGINGPRODUCTION,,,,,,,,,BABY FOODTEA,,,,
BABY FOOD,HAMÉ A. S.,Na Drahách 814,686 04,KUNOVICE,Zlínský kraj - Uherské Hradište,CZECH REPUBLIC,+420  572 534111,,info@hame.cz,www.hame.cz,EXPORTPRODUCTIONTRADE,,,,,,,,,BABY FOODEDIBLE PREPARATIONS & SPICES > KETCHUPFRUIT PRODUCTS > JAMFRUIT PRODUCTS > PUREEVEGETABLE PRODUCTS > PUREEVEGETABLES > CUCUMBERS > GHERKINS,,,,
BABY FOOD,HAPPYFAMILY,40 Fulton St. 17th FL,10038,NEW YORK,New York,USA,,,parents@happyfamilybrands.com,www.happyfamilybrands.com,PRODUCTION,,,,,,,,,BABY FOOD,,,,
BABY FOOD,HEALTHY TIMES ORGANIC BABY PRODUCTS,13200 Kirkham Wy. Bldg 104,92064,POWAY,California,USA,+1  858 5131550,+1  858 5131533,htbaby@healthytimes.com,www.healthytimes.com,ONLINESHOPPRODUCTION,,,,,,,,Ms. Rondi Prescott,"BABY FOODBABY FOOD > CEREAL PRODUCTSBAKERY PRODUCTS, ADDITIVES > BISCUITS",,,,
BABY FOOD,"HERO ESPANA, S.A.","Avda. de Murcia, 1 Aptdo 8",30820,ALCANTARILLA,MURCIA - Murcia,SPAIN,+34  900 180332,,info@hero.es,www.hero.es,EXPORTPRODUCTION,,,,,,,,,BABY FOOD,,,,
BABY FOOD,HERTO NV,"Industriezone 2, Ballingsweg 10",9620,ZOTTEGEM,Oost-Vlaanderen,BELGIUM,+32  9 3267878,+32  9 3267879,info@herto.be,www.herto.be,EXPORT,,,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVES > CAKES > RICE CAKESBAKERY PRODUCTS, ADDITIVES > SNACKCEREALS > RICE > PRODUCTS",,,,
BABY FOOD,HIPP GMBH & CO. EXPORT KG,Theresienthalstr. 68,4810,GMUNDEN,Oberosterreich,AUSTRIA,+43  7612 765770,+43  7612 76577200,,www.hipp.at,EXPORTONLINESHOPPRODUCTIONWHOLESALER,,,,,,,,,BABY FOODBABY FOOD > MILKBABY FOOD > MILK PRODUCTS,,,,
BABY FOOD,HIPP GMBH & CO. VERTRIEB KG,Georg-Hipp-Strasse 7,85276,PFAFFENHOFEN,Bayern - Oberbayern,GERMANY,+49  8441 7570,+49  8441 757654,information@hipp.de,www.hipp.de,EXPORTONLINESHOPPRODUCTIONWHOLESALER,,,,,,,,Mr. Claus Hipp,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESCEREAL PRODUCTSFRUIT PRODUCTSTEA,,,,
BABY FOOD,HIPP ORGANIC,"165 Main Street, Greenham Business Park",RG19 6HN,THATCHAM,ENGLAND - Berkshire,UNITED KINGDOM,+44  0845 0501351,+44  1635 52 82 71,inforequest@hipp.co.uk,www.hipp.co.uk,EXPORTPRODUCTIONWHOLESALER,,,,,,,,,BABY FOOD,BABY FOOD,,,
BABY FOOD,HOCHDORF HOLDING AG,"Siedereistrasse 9, Postfach 691",6281,HOCHDORF,Luzern,SWITZERLAND,+41  41 9146565,+41  41 9146666,christoph.hug@hochdorf.com,www.hochdorf.com,EXPORT,,,,,,,,Mr. Christoph Hug,"BABY FOODBAKERY PRODUCTS, ADDITIVES > DESSERTBEVERAGES - NON ALCOHOLICCEREALSMEDICAL & AROMATIC PLANTS > NUTRITIONAL SUPPLEMENTMILK & DAIRY PRODUCTS > MILK POWDER",,,,
BABY FOOD,HOLLE NAEHRMITTEL AG,Untertalweg 50,4144,ARLESHEIM,Basel-Landschaft,SWITZERLAND,+410  617 069511,+410  617 013522,holle@swissonline.ch,,IMPORT,,,,,,,,Mr. Fouks,BABY FOODCEREAL PRODUCTS > FLOURCEREAL PRODUCTS > GROATS AND SEMOLINA,,,,
BABY FOOD,HULC BIO-FOOD ® GMBH,Spichernstr. 2,50672,KOELN,Nordrhein-Westfalen - Köln,GERMANY,+49  221 5101666,+49  221 5891325,mail@hulc.de,www.hulc.de,ONLINESHOPRETAILERTRADE,,,,,,,,Ms. Eva-Maria Eckert,"BAKERY PRODUCTS, ADDITIVESVARIOUS > MACROBIOTICVEGETABLESBEVERAGES - NON ALCOHOLICBEVERAGES - ALCOHOLIC > WINECEREAL PRODUCTSFRUIT","BAKERY PRODUCTS, ADDITIVESVARIOUS > MACROBIOTICVEGETABLES",,,
BABY FOOD,IL MANGIARSANO SPA GERMINAL ITALIA SRL,Via Staizza 50,31033,CASTELFRANCO VENETO,VENETO - Treviso,ITALY,+39  0423 420099,+39  0423 496128,info@ilmangiarsano.com,www.mangiarsanogerminal.it,EXPORTPRODUCTION,BIOAGRICERT S.R.L. - Companies certified by BIOAGRICERT S.R.L. (116),,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVESBEVERAGES - NON ALCOHOLIC > FRUIT JUICESCEREAL PRODUCTSCEREALSFRUIT PRODUCTS > COMPOTE",,,,
BABY FOOD,KELLERLADEN NATURKOST,Bonifatiusstr. 29,63579,FREIGERICHT,Hessen - Darmstadt,GERMANY,+490  605 56317,+490  605 584317,j-vernieks@t-online.de,,RETAILER,,,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVESCANNED FOODFROZEN PRODUCTSFRUITMILK & DAIRY PRODUCTSPASTA","BABY FOODBAKERY PRODUCTS, ADDITIVESCANNED FOOD",,,
BABY FOOD,LANDI ORGANIC BABY FOOD,,27609,RALEIGH,North Carolina,USA,+1  919 890 0335,,info@themarketsolutions.com,www.landibaby.com,PRODUCTION,"USDA,  U.S. DEPARTMENT OF AGRICULTURE  - Companies certified by USDA,  U.S. DEPARTMENT OF AGRICULTURE  (585)",,,,,,,Ms. Liliana Cantrell,BABY FOOD,,,,
BABY FOOD,LIFESQUARED,202 North Ford Street,61744,GRIDLEY,Illinois,USA,+1  309 7474500,+1  309 7472073,,www.dremz.com,EXPORTPRODUCTION,"USDA,  U.S. DEPARTMENT OF AGRICULTURE  - Companies certified by USDA,  U.S. DEPARTMENT OF AGRICULTURE  (585)",,,,,,,,BABY FOOD,,,,
BABY FOOD,LITTLE DUCK ORGANICS,55-C 9th St.,11215,BROOKLYN,New York,USA,,,Zak@littleduckorganics.com,www.littleduckorganics.com,ONLINESHOPPRODUCTIONTRADE,"USDA,  U.S. DEPARTMENT OF AGRICULTURE  - Companies certified by USDA,  U.S. DEPARTMENT OF AGRICULTURE  (585)",,,,,,,Mr. Zak Normandin,BABY FOOD,CEREALSFRUIT,,,
BABY FOOD,LOU BIO SARL,2060 ZI St Maurice,04100,MANOSQUE,PROVENCE-ALPES-COTE D'AZUR - Alpes-de-Haute-Provence,FRANCE,+33  0492 737475,+33  0492 759479,contact@lafinestrasulcielo.fr,www.alimentationbio.com,EXPORTPRODUCTIONTRADE,QUALITE FRANCE - BUREAU VERITAS CERTIFICATION - Companies certified by QUALITE FRANCE - BUREAU VERITAS CERTIFICATION (913),,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVESCEREAL PRODUCTS","BABY FOODBAKERY PRODUCTS, ADDITIVESCEREAL PRODUCTS",,,
BABY FOOD,LOVEMADE,St. Kongensgade 110c,1264,COPENHAGEN K,Copenhagen,DENMARK,+45  2656 0988,,silvia@lovemade.dk,www.lovemade.dk,DISTRIBUTIONEXPORTIMPORTPRODUCTIONTRADE,,,,,,,,Ms. Silvia Wulff,BABY FOODFROZEN PRODUCTS > READY MADE MEALS,VEGETABLES,,,
BABY FOOD,MAJESSY,7 route de moimont,95470,SAINT WITZ,ILE-DE-FRANCE - Val d'Oise,FRANCE,+33  95 2622300,+33  95 7622300,,www.majessy.com,TRADE,ECOCERT SA FRANCE - Companies certified by ECOCERT SA FRANCE (798),,,,,78,2009,Ms. Alexandra Maranon,BABY FOOD,BABY FOOD,,,
BABY FOOD,MARTIN EVERS NATURKOST GMBH,Alpenstr. 15,87751,HEIMERTINGEN,Bayern - Schwaben,GERMANY,+49  8335 982103,+49  8335 982119,info@eversnaturkost.de,www.eversnaturkost.de/martinevers,DISTRIBUTIONONLINESHOP,,,,,,,,,"BABY FOODCANNED FOOD > VEGETABLES, PLANTSCANNED FOOD > VEGETABLES, PLANTS > PICKLESCEREALSEDIBLE PREPARATIONS & SPICES > SPREADING PASTESOYA AND BY - PRODUCTS",,,,
BABY FOOD,MATERNA OPERATIONS,"8 rue Clément Bayard, batiment 3",60200,COMPIÈGNE,PICARDIE - Oise,FRANCE,+33  3 44915960,+33  3 44915959,contact@maternafrance.fr,www.materna-france.com,PRODUCTION,,,,,,,,,BABY FOOD,,,,
BABY FOOD,MATRIMO,Hagelberger Str. 53-54,10965,BERLIN,Berlin - Kreisfreie Stadt,GERMANY,+490  307 8992888,+490  307 857102,info@matrimo.de,,RETAILER,,,,,,,,,BABY FOOD,BABY FOOD,,,
BABY FOOD,MILUPA AG,Bahnstrasse 14-30,61381,FIEDRICHSDORF,Hessen - Darmstadt,GERMANY,+496  172 990,+496  172 991595,Stefan.Stohl@danone.com,www.milupa.de,CONSULTINGTRADE,,,,,,,,Mr. Stefan Stohl,BABY FOODBABY FOOD > CEREAL PRODUCTS,BABY FOODBABY FOOD > CEREAL PRODUCTS,,,
BABY FOOD,MILUPA COMERCIAL S.A.,Zona Industrial de Carnaxide,2790-076,CARNAXIDE,Lisboa - Oeiras,PORTUGAL,+351  800 204022,,milupa@milupa.pt,,EXPORTPRODUCTION,,,,,,,,,BABY FOOD,,,,
BABY FOOD,MILUPA GMBH,Halleiner Landesstrasse 264,5412,PUCH BEI SALZBURG,Salzburg,AUSTRIA,+43  6245 7940,+43  6245 794256,milupa@milupa.at,www.milupa.at,EXPORTPRODUCTION,,,,,,,,,BABY FOOD,,,,
BABY FOOD,MILUPA S.P.A.,Via Lepetit 8,20020,LAINATE,LOMBARDIA - Milano,ITALY,+39  002 937941,+39  002 93794270,,www.milupa.it,PRODUCTIONTRADE,IOFGA-IRISH ORGANIC FARMERS & GROWERS ASSOCIATION - Companies certified by IOFGA-IRISH ORGANIC FARMERS & GROWERS ASSOCIATION (6),,,,,,,,BABY FOOD,BABY FOOD,,,
BABY FOOD,NATURA NUOVA SRL,"Via Pablo Picasso, 3",48012,BAGNACAVALLO,EMILIA ROMAGNA - Ravenna,ITALY,+39  0545 63966,+39  0545 935469,info@natura-nuova.com,www.natura-nuova.com,EXPORTPRODUCTIONTRADE,BIOAGRICERT S.R.L. - Companies certified by BIOAGRICERT S.R.L. (116),,,,,,,,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESBEVERAGES - NON ALCOHOLIC > RICE DRINKFRUIT PRODUCTS > MARMELADEFRUIT PRODUCTS > PULPFRUIT PRODUCTS > PUREEMEAT > SUBSTITUTE,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESBEVERAGES - NON ALCOHOLIC > RICE DRINK,,,
BABY FOOD,NESTLE SVERIGE AB,Box 7173,250 07,HELSINGBORG,Skane lan,SWEDEN,+46  042 199127,+46  020 299200,forum@se.nestle.com,www.nestle.se,EXPORTPRODUCTION,,,,,,,,,BABY FOODCEREAL PRODUCTS > MUESLICOCOA & ITS PREPARATIONS > CHOCOLATECOFFEE,,,,
BABY FOOD,"NESTLÉ USA, INC. - GERBER PRODUCTS COMPANY",800 North Brand Blvd.,91203,GLENDALE,California,USA,+1  818 5496000,+1  818 5496952,,www.gerber.com,PRODUCTIONWHOLESALER,,,,,,,,,BABY FOOD,BABY FOOD,,,
